sale_id,product_id,customer_id,sales_date,discount,final_price,sales_rating,product_name,product_price,customer_name,customer_gender
1,15,1,2024-09-21,0.2,239.2,4.4,14k Gold Stud Earrings,299,James Smith,Male
2,14,70,2024-06-05,0.05,94.05,3.8,Silver Stud Earrings,99,Daniel Martinez,Male
3,15,90,2024-12-21,0.1,269.1,4.8,14k Gold Stud Earrings,299,Lucas Johnson,Female
4,3,66,2024-07-05,0.05,474.05,4.9,14k Gold Cuban Link Chain 8mm,499,James Lee,Male
5,13,105,2024-07-05,0.05,521.55,4.4,14k Gold Cuban Link Bracelet 8mm,549,Emma Brown,Female
6,3,109,2024-11-18,0.05,474.05,4.5,14k Gold Cuban Link Chain 8mm,499,Sophia Wilson,Female
7,7,52,2024-06-17,0.0,449.0,4.1,14k Gold Rope Chain 5mm,449,Daniel Brown,Male
8,2,90,2024-12-27,0.05,189.05,4.7,Silver Cuban Link Chain 8mm,199,Lucas Johnson,Female
9,4,73,2024-11-10,0.05,664.05,4.6,14k Gold Cuban Link Chain 10mm,699,Sophia Brown,Female
10,11,112,2024-06-30,0.0,649.0,4.7,14k Gold Tennis Bracelet,649,Sophia Silva,Female
11,12,42,2024-08-13,0.15,143.65,4.1,Silver Cuban Link Bracelet 8mm,169,Olivia Silva,Male
12,10,6,2024-03-12,0.1,170.1,4.3,Silver Tennis Bracelet,189,Emma Brown,Male
13,7,102,2024-04-26,0.2,359.2,5.0,14k Gold Rope Chain 5mm,449,Mateo Garcia,Male
14,2,31,2024-11-21,0.15,169.15,3.8,Silver Cuban Link Chain 8mm,199,Isabella Martinez,Female
15,1,38,2024-09-03,0.0,149.0,3.8,Silver Cuban Link Chain 5mm,149,Emma Smith,Male
16,2,49,2024-08-06,0.3,139.3,4.5,Silver Cuban Link Chain 8mm,199,Mateo Smith,Male
17,15,41,2024-12-23,0.15,254.15,4.7,14k Gold Stud Earrings,299,Daniel Smith,Male
18,10,103,2024-06-12,0.1,170.1,3.5,Silver Tennis Bracelet,189,Mia Wilson,Male
19,1,78,2024-05-22,0.0,149.0,4.9,Silver Cuban Link Chain 5mm,149,Isabella Silva,Male
20,15,55,2024-08-09,0.05,284.05,3.7,14k Gold Stud Earrings,299,Daniel Garcia,Male
21,1,7,2024-01-13,0.05,141.55,4.1,Silver Cuban Link Chain 5mm,149,Isabella Silva,Male
22,10,35,2024-04-06,0.15,160.65,3.9,Silver Tennis Bracelet,189,Mia Smith,Male
23,4,16,2024-09-21,0.1,629.1,3.8,14k Gold Cuban Link Chain 10mm,699,Michael Brown,Male
24,15,19,2024-01-21,0.05,284.05,5.0,14k Gold Stud Earrings,299,Daniel Martinez,Male
25,14,21,2024-01-13,0.05,94.05,5.0,Silver Stud Earrings,99,Mateo Wilson,Female
26,5,38,2024-09-14,0.1,116.1,4.8,Silver Rope Chain 4mm,129,Emma Smith,Male
27,1,48,2024-07-10,0.0,149.0,4.8,Silver Cuban Link Chain 5mm,149,Olivia Brown,Male
28,1,59,2024-10-20,0.1,134.1,4.7,Silver Cuban Link Chain 5mm,149,Emma Silva,Male
29,5,84,2024-11-15,0.0,129.0,4.5,Silver Rope Chain 4mm,129,James Smith,Male
30,2,92,2024-11-19,0.05,189.05,4.5,Silver Cuban Link Chain 8mm,199,Emma Johnson,Female
31,8,92,2024-11-14,0.1,143.1,4.3,Silver Figaro Chain 5mm,159,Emma Johnson,Female
32,4,92,2024-12-25,0.05,664.05,4.3,14k Gold Cuban Link Chain 10mm,699,Emma Johnson,Female
33,3,3,2024-12-15,0.0,499.0,4.4,14k Gold Cuban Link Chain 8mm,499,Isabella Smith,Female
34,5,113,2024-04-07,0.05,122.55,5.0,Silver Rope Chain 4mm,129,Lucas Smith,Female
35,8,34,2024-04-19,0.1,143.1,4.7,Silver Figaro Chain 5mm,159,James Wilson,Male
36,3,70,2024-07-04,0.0,499.0,4.2,14k Gold Cuban Link Chain 8mm,499,Daniel Martinez,Male
37,5,86,2024-12-04,0.05,122.55,4.1,Silver Rope Chain 4mm,129,Olivia Lee,Male
38,9,8,2024-04-04,0.05,569.05,3.8,14k Gold Figaro Chain 7mm,599,James Silva,Female
39,14,116,2024-10-25,0.0,99.0,4.0,Silver Stud Earrings,99,Michael Silva,Male
40,1,4,2024-02-15,0.1,134.1,5.0,Silver Cuban Link Chain 5mm,149,Mia Wilson,Female
41,8,4,2024-10-13,0.15,135.15,5.0,Silver Figaro Chain 5mm,159,Mia Wilson,Female
42,10,88,2024-04-17,0.05,179.55,3.6,Silver Tennis Bracelet,189,Olivia Smith,Male
43,4,79,2024-02-12,0.1,629.1,4.9,14k Gold Cuban Link Chain 10mm,699,Isabella Brown,Male
44,13,113,2024-06-25,0.0,549.0,3.6,14k Gold Cuban Link Bracelet 8mm,549,Lucas Smith,Female
45,13,120,2024-11-30,0.0,549.0,4.6,14k Gold Cuban Link Bracelet 8mm,549,Isabella Smith,Female
46,5,39,2024-07-07,0.0,129.0,4.2,Silver Rope Chain 4mm,129,Olivia Smith,Male
47,7,108,2024-08-10,0.2,359.2,5.0,14k Gold Rope Chain 5mm,449,Lucas Lee,Male
48,2,62,2024-01-31,0.05,189.05,4.0,Silver Cuban Link Chain 8mm,199,Daniel Lee,Female
49,6,60,2024-03-10,0.1,161.1,4.4,Silver Rope Chain 6mm,179,Isabella Lee,Male
50,7,19,2024-02-29,0.15,381.65,4.8,14k Gold Rope Chain 5mm,449,Daniel Martinez,Male
51,15,91,2024-12-28,0.0,299.0,3.4,14k Gold Stud Earrings,299,Michael Brown,Male
52,12,79,2024-10-28,0.05,160.55,3.9,Silver Cuban Link Bracelet 8mm,169,Isabella Brown,Male
53,3,53,2024-02-06,0.1,449.1,4.1,14k Gold Cuban Link Chain 8mm,499,Olivia Martinez,Female
54,2,102,2024-03-09,0.0,199.0,4.7,Silver Cuban Link Chain 8mm,199,Mateo Garcia,Male
55,13,10,2024-01-25,0.0,549.0,2.9,14k Gold Cuban Link Bracelet 8mm,549,Isabella Lee,Male
56,9,63,2024-08-13,0.0,599.0,4.1,14k Gold Figaro Chain 7mm,599,Emma Smith,Male
57,4,115,2024-08-19,0.0,699.0,4.5,14k Gold Cuban Link Chain 10mm,699,Daniel Brown,Male
58,11,92,2024-03-04,0.1,584.1,4.4,14k Gold Tennis Bracelet,649,Emma Johnson,Female
59,6,19,2024-10-10,0.05,170.05,3.6,Silver Rope Chain 6mm,179,Daniel Martinez,Male
60,1,3,2024-11-27,0.05,141.55,3.9,Silver Cuban Link Chain 5mm,149,Isabella Smith,Female
61,12,39,2024-10-31,0.15,143.65,3.4,Silver Cuban Link Bracelet 8mm,169,Olivia Smith,Male
62,3,31,2024-07-05,0.1,449.1,4.7,14k Gold Cuban Link Chain 8mm,499,Isabella Martinez,Female
63,11,46,2024-04-28,0.0,649.0,4.3,14k Gold Tennis Bracelet,649,Isabella Brown,Male
64,11,53,2024-08-30,0.2,519.2,3.6,14k Gold Tennis Bracelet,649,Olivia Martinez,Female
65,7,2,2024-11-22,0.1,404.1,3.4,14k Gold Rope Chain 5mm,449,Mia Martinez,Male
66,14,84,2024-10-27,0.0,99.0,3.7,Silver Stud Earrings,99,James Smith,Male
67,3,115,2024-05-16,0.0,499.0,4.4,14k Gold Cuban Link Chain 8mm,499,Daniel Brown,Male
68,5,54,2024-11-25,0.0,129.0,4.7,Silver Rope Chain 4mm,129,Daniel Smith,Male
69,12,100,2024-09-01,0.15,143.65,4.5,Silver Cuban Link Bracelet 8mm,169,Lucas Smith,Male
70,12,6,2024-05-01,0.3,118.3,5.0,Silver Cuban Link Bracelet 8mm,169,Emma Brown,Male
71,14,26,2024-02-05,0.15,84.15,3.4,Silver Stud Earrings,99,Mateo Johnson,Female
72,13,66,2024-06-28,0.0,549.0,3.9,14k Gold Cuban Link Bracelet 8mm,549,James Lee,Male
73,15,79,2024-09-26,0.1,269.1,5.0,14k Gold Stud Earrings,299,Isabella Brown,Male
74,5,1,2024-10-08,0.05,122.55,4.7,Silver Rope Chain 4mm,129,James Smith,Male
75,7,31,2024-07-26,0.05,426.55,4.2,14k Gold Rope Chain 5mm,449,Isabella Martinez,Female
76,14,45,2024-04-29,0.05,94.05,4.2,Silver Stud Earrings,99,Emma Johnson,Male
77,4,60,2024-09-29,0.05,664.05,4.1,14k Gold Cuban Link Chain 10mm,699,Isabella Lee,Male
78,11,67,2024-08-16,0.0,649.0,3.6,14k Gold Tennis Bracelet,649,Emma Garcia,Female
79,1,65,2024-03-31,0.1,134.1,3.8,Silver Cuban Link Chain 5mm,149,Michael Martinez,Male
80,7,97,2024-08-23,0.05,426.55,4.0,14k Gold Rope Chain 5mm,449,Mateo Brown,Male
81,15,95,2024-12-14,0.1,269.1,5.0,14k Gold Stud Earrings,299,Olivia Smith,Male
82,5,43,2024-05-11,0.1,116.1,4.2,Silver Rope Chain 4mm,129,Daniel Smith,Female
83,8,16,2024-11-07,0.05,151.05,4.1,Silver Figaro Chain 5mm,159,Michael Brown,Male
84,12,113,2024-07-03,0.1,152.1,4.8,Silver Cuban Link Bracelet 8mm,169,Lucas Smith,Female
85,7,80,2024-02-17,0.0,449.0,4.9,14k Gold Rope Chain 5mm,449,Isabella Silva,Male
86,8,85,2024-12-31,0.0,159.0,4.6,Silver Figaro Chain 5mm,159,Daniel Johnson,Female
87,2,44,2024-10-31,0.2,159.2,4.6,Silver Cuban Link Chain 8mm,199,James Johnson,Female
88,12,33,2024-02-07,0.0,169.0,4.3,Silver Cuban Link Bracelet 8mm,169,Mateo Lee,Male
89,11,94,2024-04-15,0.0,649.0,4.5,14k Gold Tennis Bracelet,649,James Smith,Male
90,6,20,2024-01-08,0.0,179.0,4.9,Silver Rope Chain 6mm,179,Lucas Brown,Female
91,8,116,2024-02-22,0.0,159.0,5.0,Silver Figaro Chain 5mm,159,Michael Silva,Male
92,10,3,2024-06-01,0.15,160.65,3.5,Silver Tennis Bracelet,189,Isabella Smith,Female
93,3,18,2024-12-27,0.0,499.0,4.2,14k Gold Cuban Link Chain 8mm,499,Olivia Lee,Male
94,5,9,2024-02-19,0.05,122.55,3.6,Silver Rope Chain 4mm,129,Emma Garcia,Male
95,9,60,2024-09-17,0.05,569.05,3.6,14k Gold Figaro Chain 7mm,599,Isabella Lee,Male
96,2,36,2024-02-23,0.0,199.0,4.9,Silver Cuban Link Chain 8mm,199,Isabella Garcia,Male
97,13,109,2024-09-07,0.05,521.55,5.0,14k Gold Cuban Link Bracelet 8mm,549,Sophia Wilson,Female
98,3,30,2024-01-17,0.15,424.15,4.8,14k Gold Cuban Link Chain 8mm,499,Emma Brown,Male
99,2,24,2024-02-19,0.05,189.05,4.2,Silver Cuban Link Chain 8mm,199,Mia Brown,Female
100,2,36,2024-11-09,0.0,199.0,3.9,Silver Cuban Link Chain 8mm,199,Isabella Garcia,Male
101,4,120,2024-03-22,0.0,699.0,4.3,14k Gold Cuban Link Chain 10mm,699,Isabella Smith,Female
102,13,102,2024-10-09,0.05,521.55,4.2,14k Gold Cuban Link Bracelet 8mm,549,Mateo Garcia,Male
103,6,46,2024-01-21,0.05,170.05,4.7,Silver Rope Chain 6mm,179,Isabella Brown,Male
104,10,86,2024-12-30,0.05,179.55,4.3,Silver Tennis Bracelet,189,Olivia Lee,Male
105,1,43,2024-03-30,0.05,141.55,3.5,Silver Cuban Link Chain 5mm,149,Daniel Smith,Female
106,9,105,2024-01-28,0.1,539.1,4.9,14k Gold Figaro Chain 7mm,599,Emma Brown,Female
107,12,15,2024-09-01,0.1,152.1,4.5,Silver Cuban Link Bracelet 8mm,169,James Johnson,Female
108,2,28,2024-06-12,0.05,189.05,4.5,Silver Cuban Link Chain 8mm,199,Michael Martinez,Female
109,7,117,2024-02-28,0.2,359.2,4.5,14k Gold Rope Chain 5mm,449,Mia Silva,Male
110,4,100,2024-09-03,0.15,594.15,4.2,14k Gold Cuban Link Chain 10mm,699,Lucas Smith,Male
111,4,111,2024-11-11,0.05,664.05,3.6,14k Gold Cuban Link Chain 10mm,699,Mateo Martinez,Male
112,12,57,2024-04-07,0.1,152.1,4.0,Silver Cuban Link Bracelet 8mm,169,James Johnson,Female
113,6,101,2024-08-28,0.05,170.05,4.6,Silver Rope Chain 6mm,179,Daniel Martinez,Male
114,10,7,2024-03-01,0.05,179.55,3.9,Silver Tennis Bracelet,189,Isabella Silva,Male
115,8,58,2024-10-18,0.0,159.0,4.4,Silver Figaro Chain 5mm,159,Emma Lee,Female
116,10,8,2024-12-27,0.05,179.55,4.5,Silver Tennis Bracelet,189,James Silva,Female
117,3,67,2024-06-26,0.1,449.1,4.2,14k Gold Cuban Link Chain 8mm,499,Emma Garcia,Female
118,4,15,2024-12-04,0.05,664.05,4.3,14k Gold Cuban Link Chain 10mm,699,James Johnson,Female
119,12,113,2024-01-03,0.0,169.0,4.9,Silver Cuban Link Bracelet 8mm,169,Lucas Smith,Female
120,4,107,2024-03-03,0.0,699.0,4.5,14k Gold Cuban Link Chain 10mm,699,Olivia Silva,Male
121,4,93,2024-08-02,0.05,664.05,4.1,14k Gold Cuban Link Chain 10mm,699,Daniel Smith,Male
122,9,86,2024-10-19,0.1,539.1,5.0,14k Gold Figaro Chain 7mm,599,Olivia Lee,Male
123,15,49,2024-02-20,0.1,269.1,5.0,14k Gold Stud Earrings,299,Mateo Smith,Male
124,7,24,2024-10-12,0.0,449.0,4.7,14k Gold Rope Chain 5mm,449,Mia Brown,Female
125,10,61,2024-04-26,0.15,160.65,3.6,Silver Tennis Bracelet,189,Mia Johnson,Male
126,8,67,2024-08-30,0.0,159.0,4.6,Silver Figaro Chain 5mm,159,Emma Garcia,Female
127,15,45,2024-03-27,0.05,284.05,4.9,14k Gold Stud Earrings,299,Emma Johnson,Male
128,7,62,2024-01-26,0.1,404.1,4.5,14k Gold Rope Chain 5mm,449,Daniel Lee,Female
129,4,72,2024-12-11,0.0,699.0,3.8,14k Gold Cuban Link Chain 10mm,699,Isabella Garcia,Male
130,10,61,2024-11-03,0.0,189.0,4.0,Silver Tennis Bracelet,189,Mia Johnson,Male
131,7,33,2024-04-16,0.1,404.1,4.3,14k Gold Rope Chain 5mm,449,Mateo Lee,Male
132,13,94,2024-12-17,0.05,521.55,4.3,14k Gold Cuban Link Bracelet 8mm,549,James Smith,Male
133,7,114,2024-04-22,0.15,381.65,4.3,14k Gold Rope Chain 5mm,449,Sophia Wilson,Female
134,12,27,2024-06-27,0.15,143.65,4.4,Silver Cuban Link Bracelet 8mm,169,Mateo Johnson,Female
135,7,119,2024-06-25,0.15,381.65,4.2,14k Gold Rope Chain 5mm,449,Emma Brown,Male
136,2,44,2024-05-26,0.3,139.3,4.5,Silver Cuban Link Chain 8mm,199,James Johnson,Female
137,14,37,2024-08-22,0.05,94.05,4.7,Silver Stud Earrings,99,Lucas Smith,Female
138,15,90,2024-03-16,0.0,299.0,4.0,14k Gold Stud Earrings,299,Lucas Johnson,Female
139,11,5,2024-11-17,0.05,616.55,4.2,14k Gold Tennis Bracelet,649,Daniel Brown,Female
140,4,57,2024-06-29,0.0,699.0,3.6,14k Gold Cuban Link Chain 10mm,699,James Johnson,Female
141,5,92,2024-08-07,0.0,129.0,4.2,Silver Rope Chain 4mm,129,Emma Johnson,Female
142,4,10,2024-03-30,0.05,664.05,4.4,14k Gold Cuban Link Chain 10mm,699,Isabella Lee,Male
143,2,21,2024-03-13,0.1,179.1,4.7,Silver Cuban Link Chain 8mm,199,Mateo Wilson,Female
144,14,46,2024-06-23,0.05,94.05,5.0,Silver Stud Earrings,99,Isabella Brown,Male
145,1,41,2024-09-24,0.1,134.1,4.1,Silver Cuban Link Chain 5mm,149,Daniel Smith,Male
146,6,96,2024-12-30,0.05,170.05,4.3,Silver Rope Chain 6mm,179,Lucas Johnson,Male
147,9,17,2024-09-09,0.05,569.05,3.8,14k Gold Figaro Chain 7mm,599,Emma Brown,Female
148,14,76,2024-04-02,0.05,94.05,5.0,Silver Stud Earrings,99,Isabella Lee,Male
149,7,65,2024-09-02,0.1,404.1,4.2,14k Gold Rope Chain 5mm,449,Michael Martinez,Male
150,15,34,2024-11-07,0.05,284.05,3.8,14k Gold Stud Earrings,299,James Wilson,Male
151,12,73,2024-03-20,0.0,169.0,4.8,Silver Cuban Link Bracelet 8mm,169,Sophia Brown,Female
152,9,102,2024-08-26,0.0,599.0,4.7,14k Gold Figaro Chain 7mm,599,Mateo Garcia,Male
153,10,87,2024-06-09,0.1,170.1,3.6,Silver Tennis Bracelet,189,Sophia Wilson,Male
154,14,1,2024-07-25,0.05,94.05,4.8,Silver Stud Earrings,99,James Smith,Male
155,2,88,2024-03-21,0.0,199.0,4.4,Silver Cuban Link Chain 8mm,199,Olivia Smith,Male
156,1,35,2024-06-23,0.05,141.55,4.5,Silver Cuban Link Chain 5mm,149,Mia Smith,Male
157,4,8,2024-06-17,0.05,664.05,4.8,14k Gold Cuban Link Chain 10mm,699,James Silva,Female
158,14,109,2024-09-15,0.15,84.15,4.5,Silver Stud Earrings,99,Sophia Wilson,Female
159,2,44,2024-08-05,0.05,189.05,4.5,Silver Cuban Link Chain 8mm,199,James Johnson,Female
160,4,4,2024-03-22,0.1,629.1,4.6,14k Gold Cuban Link Chain 10mm,699,Mia Wilson,Female
161,5,38,2024-07-30,0.05,122.55,4.4,Silver Rope Chain 4mm,129,Emma Smith,Male
162,15,82,2024-08-10,0.05,284.05,4.4,14k Gold Stud Earrings,299,Olivia Silva,Female
163,8,39,2024-04-29,0.05,151.05,4.6,Silver Figaro Chain 5mm,159,Olivia Smith,Male
164,14,61,2024-09-10,0.0,99.0,3.2,Silver Stud Earrings,99,Mia Johnson,Male
165,7,52,2024-11-25,0.15,381.65,3.5,14k Gold Rope Chain 5mm,449,Daniel Brown,Male
166,13,60,2024-07-02,0.05,521.55,4.7,14k Gold Cuban Link Bracelet 8mm,549,Isabella Lee,Male
167,2,22,2024-01-29,0.2,159.2,4.1,Silver Cuban Link Chain 8mm,199,Michael Johnson,Female
168,5,85,2024-11-27,0.1,116.1,4.2,Silver Rope Chain 4mm,129,Daniel Johnson,Female
169,15,48,2024-11-01,0.1,269.1,4.8,14k Gold Stud Earrings,299,Olivia Brown,Male
170,13,118,2024-06-24,0.05,521.55,4.4,14k Gold Cuban Link Bracelet 8mm,549,Daniel Brown,Male
171,4,58,2024-04-06,0.2,559.2,4.6,14k Gold Cuban Link Chain 10mm,699,Emma Lee,Female
172,13,74,2024-11-25,0.05,521.55,4.5,14k Gold Cuban Link Bracelet 8mm,549,Michael Martinez,Male
173,4,120,2024-09-28,0.1,629.1,4.9,14k Gold Cuban Link Chain 10mm,699,Isabella Smith,Female
174,8,120,2024-03-13,0.0,159.0,3.4,Silver Figaro Chain 5mm,159,Isabella Smith,Female
175,7,29,2024-04-09,0.0,449.0,4.2,14k Gold Rope Chain 5mm,449,Olivia Martinez,Male
176,9,17,2024-07-28,0.05,569.05,3.7,14k Gold Figaro Chain 7mm,599,Emma Brown,Female
177,7,11,2024-07-13,0.05,426.55,3.5,14k Gold Rope Chain 5mm,449,Mateo Brown,Female
178,14,16,2024-05-04,0.05,94.05,3.8,Silver Stud Earrings,99,Michael Brown,Male
179,13,39,2024-08-21,0.0,549.0,3.8,14k Gold Cuban Link Bracelet 8mm,549,Olivia Smith,Male
180,13,113,2024-03-26,0.05,521.55,5.0,14k Gold Cuban Link Bracelet 8mm,549,Lucas Smith,Female
181,5,12,2024-06-13,0.0,129.0,3.3,Silver Rope Chain 4mm,129,Isabella Brown,Male
182,5,111,2024-09-21,0.0,129.0,4.6,Silver Rope Chain 4mm,129,Mateo Martinez,Male
183,8,15,2024-01-28,0.05,151.05,4.9,Silver Figaro Chain 5mm,159,James Johnson,Female
184,1,52,2024-10-30,0.0,149.0,5.0,Silver Cuban Link Chain 5mm,149,Daniel Brown,Male
185,1,80,2024-12-28,0.1,134.1,4.2,Silver Cuban Link Chain 5mm,149,Isabella Silva,Male
186,10,30,2024-02-09,0.2,151.2,4.7,Silver Tennis Bracelet,189,Emma Brown,Male
187,9,74,2024-07-20,0.1,539.1,4.8,14k Gold Figaro Chain 7mm,599,Michael Martinez,Male
188,9,119,2024-04-06,0.05,569.05,4.8,14k Gold Figaro Chain 7mm,599,Emma Brown,Male
189,5,1,2024-08-26,0.0,129.0,4.6,Silver Rope Chain 4mm,129,James Smith,Male
190,11,48,2024-02-18,0.15,551.65,4.1,14k Gold Tennis Bracelet,649,Olivia Brown,Male
191,11,105,2024-06-08,0.1,584.1,4.2,14k Gold Tennis Bracelet,649,Emma Brown,Female
192,14,65,2024-01-15,0.0,99.0,4.6,Silver Stud Earrings,99,Michael Martinez,Male
193,14,108,2024-11-21,0.15,84.15,3.3,Silver Stud Earrings,99,Lucas Lee,Male
194,9,34,2024-04-01,0.0,599.0,3.8,14k Gold Figaro Chain 7mm,599,James Wilson,Male
195,15,82,2024-07-16,0.0,299.0,4.4,14k Gold Stud Earrings,299,Olivia Silva,Female
196,7,111,2024-09-18,0.05,426.55,3.6,14k Gold Rope Chain 5mm,449,Mateo Martinez,Male
197,2,45,2024-04-06,0.1,179.1,5.0,Silver Cuban Link Chain 8mm,199,Emma Johnson,Male
198,15,28,2024-02-14,0.0,299.0,4.1,14k Gold Stud Earrings,299,Michael Martinez,Female
199,7,86,2024-01-10,0.0,449.0,4.5,14k Gold Rope Chain 5mm,449,Olivia Lee,Male
200,9,41,2024-07-12,0.0,599.0,4.1,14k Gold Figaro Chain 7mm,599,Daniel Smith,Male
201,8,66,2024-11-05,0.1,143.1,3.7,Silver Figaro Chain 5mm,159,James Lee,Male
